Timestamp,program,Gender,Age,Height,Weight.,Old_Salary,Expected_Salary,Organization,Live_parents,Expenses,Transportation,Transportation_Cost,Entertainment,Hand,Cellphone_Cost,Smoke,Footsize,Alcohol,Tattoo,Sleep,Social_Network,Homework,Work,Travel,Tuition,Coffee
2021/09/09 6:36:23 pm GMT-7,BABI,Male,28,175,148,0,8000,3. Non-profit or Government Agency,Yes,NA,2. Public Transport,0,0,0. Right-handed,100,No,NA,0,No,7,10,12,0,Yes,No,2
2021/09/09 7:55:05 pm GMT-7,BABI,Male,27,181,80,5000,7000,2. Small Company,No,2500,2. Public Transport,35,25,0. Right-handed,110,No,11,3,No,9,10,5,37,Yes,Yes,0
2021/09/11 12:23:18 pm GMT-7,BABI,Male,28,168,67,0,6666,1. Large Corporation,No,2500,3. Drive,100,10,2. Ambidextrous,60,No,9.5,2,No,6,6,4,45,Yes,Yes,2
2021/09/11 7:33:08 pm GMT-7,BABI,Female,34,152,47,4600,5400,3. Non-profit or Government Agency,Yes,400,2. Public Transport,20,20,0. Right-handed,50,No,8.75,0,No,6,0.5,25,40,Yes,Yes,1
2021/09/13 2:42:47 pm GMT-7,BABI,Female,29,163,50,3500,4000,1. Large Corporation,No,2000,3. Drive,70,400,0. Right-handed,35,No,8.75,NA,No,8,5,8,40,Yes,Yes,1
2021/09/14 6:52:17 am GMT-7,BABI,Female,27,170,65,4300,5300,2. Small Company,No,1200,2. Public Transport,20,200,0. Right-handed,60,No,10,2,Yes,7,7,3,40,Yes,No,2
2021/09/14 10:06:57 am GMT-7,BABI,Female,36,167,57,7000,NA,1. Large Corporation,No,3000,3. Drive,100,200,0. Right-handed,90,No,9,3,No,7.5,15,10,40,Yes,Yes,1
2021/09/14 4:54:38 pm GMT-7,BABI,Female,32,180,54,3400,4000,3. Non-profit or Government Agency,No,NA,3. Drive,60,40,0. Right-handed,75,Yes,6,5,Yes,7,1,8,35,Yes,No,1
2021/09/14 9:15:48 pm GMT-7,BABI,Female,23,165,50,1000,5000,4. Other,No,500,1. Walk,20,50,0. Right-handed,50,No,5,1,No,9,20,5,40,Yes,No,1
2021/09/16 1:54:34 am GMT-7,BABI,Male,25,173,66,4600,6600,1. Large Corporation,No,1300,3. Drive,70,150,0. Right-handed,45,No,8.5,0,No,8,3,20,40,Yes,Yes,1
2021/09/16 4:31:13 pm GMT-7,BABI,Male,22,182,75,NA,NA,2. Small Company,No,NA,3. Drive,200,500,0. Right-handed,102,No,10.3,3,No,7,20,4,54,Yes,Yes,3
2021/09/16 5:36:50 pm GMT-7,BABI,Male,31,195.58,113.4,5000,6500,1. Large Corporation,No,2500,2. Public Transport,22,100,0. Right-handed,90,No,14,3,No,7,21,14,40,Yes,Yes,1
2021/09/16 7:55:58 pm GMT-7,BABI,Female,30,163,61,2800,5000,1. Large Corporation,No,1000,2. Public Transport,30,200,0. Right-handed,51,No,9.5,0,Yes,7,8,15,40,Yes,Yes,1
2022/01/07 1:55:59 pm GMT-8,BITMAN,Male,23,180.4,86.18,3800,4000,2. Small Company,Yes,200,3. Drive,250,200,0. Right-handed,50,No,132,2,No,8,2,2,NA,No,No,0
2022/01/09 10:12:56 pm GMT-8,ITMG,Other,36,NA,NA,4500,5800,3. Non-profit or Government Agency,No,3000,5. Other,50,NA,0. Right-handed,55,No,NA,7,No,8,15,14,5,Yes,Yes,2
